job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,received_callback,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality
384,Chicago,manufacturing,supervisor,NA,1,unknown,1,0,0,5,1,0,none_listed,0,Allison,white,f,4,1,0,0,6,1,0,0,0,1,0,low
384,Chicago,manufacturing,supervisor,NA,1,unknown,1,0,0,5,1,0,none_listed,0,Kristen,white,f,3,0,0,1,6,1,0,1,1,0,1,high
384,Chicago,manufacturing,supervisor,NA,1,unknown,1,0,0,5,1,0,none_listed,0,Lakisha,black,f,4,1,0,1,6,1,0,0,0,0,0,low
384,Chicago,manufacturing,supervisor,NA,1,unknown,1,0,0,5,1,0,none_listed,0,Latonya,black,f,3,0,0,0,6,1,1,1,0,1,1,high
385,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,1,none_listed,0,Carrie,white,f,3,0,0,1,22,1,0,0,0,0,1,high
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,,0,0,none_listed,0,Jay,white,m,4,1,1,0,6,0,1,0,0,0,0,low
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,,0,0,none_listed,0,Jill,white,f,4,1,0,1,5,1,1,1,0,0,1,high
385,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,1,none_listed,0,Kenya,black,f,3,0,0,0,21,1,1,1,0,1,1,high
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,,0,0,none_listed,0,Latonya,black,f,4,1,0,0,3,1,1,0,0,0,0,low
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,,0,0,none_listed,0,Tyrone,black,m,4,1,0,1,6,0,1,1,0,0,1,high
387,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,0,none_listed,0,Aisha,black,f,4,1,0,0,8,1,1,1,0,1,1,high
387,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,0,none_listed,0,Allison,white,f,4,1,0,1,8,1,0,0,0,0,1,high
388,Chicago,business_and_personal_service,secretary,0,1,private,1,1,0,,1,1,none_listed,0,Aisha,black,f,4,1,0,0,4,1,1,0,0,1,0,low
388,Chicago,business_and_personal_service,secretary,0,1,private,1,1,0,,1,1,none_listed,0,Carrie,white,f,4,1,0,1,4,1,0,0,0,0,0,low
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,unknown,0,0,0,,0,0,none_listed,0,Aisha,black,f,4,1,0,0,5,0,1,1,0,0,1,high
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,unknown,0,0,0,,0,0,none_listed,0,Geoffrey,white,m,1,0,0,0,4,1,1,0,0,0,0,low
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,unknown,0,0,0,,0,0,none_listed,0,Matthew,white,m,4,1,0,1,5,0,0,1,0,0,1,high
389,Chicago,wholesale_and_retail_trade,sales_rep,NA,1,unknown,0,0,0,,0,0,none_listed,0,Tamika,black,f,4,1,0,0,6,0,1,0,0,0,0,low
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,,0,0,none_listed,0,Jill,white,f,4,1,1,1,6,0,1,1,0,0,1,high
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,,0,0,none_listed,0,Latonya,black,f,2,0,0,0,8,0,0,0,0,1,0,low
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,,0,0,none_listed,0,Leroy,black,m,4,1,0,1,4,1,1,1,0,0,1,high
390,Chicago,wholesale_and_retail_trade,retail_sales,0,0,private,0,0,0,,0,0,none_listed,0,Todd,white,m,4,1,0,0,3,1,1,0,0,0,0,low
392,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,1,,0,0,some_college,0,Allison,white,f,2,0,0,0,2,0,0,0,0,0,0,low
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,0,Carrie,white,f,4,1,0,0,7,1,0,0,0,1,0,low
392,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,1,,0,0,some_college,0,Greg,white,m,4,1,0,0,3,1,1,1,0,0,1,high
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,0,Keisha,black,f,4,1,0,1,6,1,0,0,0,1,0,low
392,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,1,,0,0,some_college,0,Keisha,black,f,1,0,0,0,4,1,1,1,0,0,1,high
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,0,Kristen,white,f,3,0,0,0,6,1,1,1,0,1,1,high
391,Chicago,other_service,secretary,1,0,nonprofit,1,0,1,some,1,0,college,0,Lakisha,black,f,3,0,0,1,7,1,0,0,0,0,1,high
392,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,1,,0,0,some_college,0,Tamika,black,f,4,1,0,0,2,1,1,0,0,0,0,low
393,Chicago,finance_insurance_real_estate,secretary,NA,0,unknown,1,0,0,,1,0,none_listed,0,Allison,white,f,2,0,0,0,6,1,0,0,0,0,0,low
393,Chicago,finance_insurance_real_estate,secretary,NA,0,unknown,1,0,0,,1,0,none_listed,0,Keisha,black,f,3,0,0,1,6,1,0,0,0,0,0,low
393,Chicago,finance_insurance_real_estate,secretary,NA,0,unknown,1,0,0,,1,0,none_listed,0,Kristen,white,f,3,0,0,0,9,1,0,1,0,1,1,high
393,Chicago,finance_insurance_real_estate,secretary,NA,0,unknown,1,0,0,,1,0,none_listed,0,Latonya,black,f,4,1,1,1,6,1,0,0,0,1,1,high
395,Chicago,manufacturing,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Brad,white,m,2,0,0,0,4,0,0,0,0,0,0,low
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,0,Jill,white,f,3,0,0,1,5,1,0,1,0,0,1,high
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,0,Keisha,black,f,4,1,0,0,4,1,0,0,0,1,0,low
395,Chicago,manufacturing,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Keisha,black,f,4,1,0,0,3,0,1,0,0,0,0,low
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,0,Lakisha,black,f,3,0,0,1,4,1,0,1,1,0,1,high
395,Chicago,manufacturing,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Laurie,white,f,4,1,0,1,5,0,1,1,0,0,1,high
394,Chicago,business_and_personal_service,clerical,0,1,private,1,1,0,3,1,0,none_listed,0,Meredith,white,f,4,1,1,0,5,1,0,0,0,1,0,low
395,Chicago,manufacturing,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Tyrone,black,m,4,1,0,1,5,0,1,1,0,0,1,high
396,Chicago,other_service,manager,NA,0,unknown,1,0,1,2,0,0,college,0,Anne,white,f,4,1,0,0,7,1,0,1,0,1,1,high
396,Chicago,other_service,manager,NA,0,unknown,1,0,1,2,0,0,college,0,Emily,white,f,4,1,0,1,6,1,0,0,0,0,0,low
396,Chicago,other_service,manager,NA,0,unknown,1,0,1,2,0,0,college,0,Latoya,black,f,4,1,0,0,5,1,1,0,0,1,0,low
396,Chicago,other_service,manager,NA,0,unknown,1,0,1,2,0,0,college,0,Tamika,black,f,3,0,0,0,7,1,0,1,0,1,1,high
397,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,0,0,0,,0,0,none_listed,0,Brad,white,m,0,0,0,0,4,1,1,1,0,1,1,high
397,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,0,0,0,,0,0,none_listed,0,Latoya,black,f,4,1,0,1,5,0,1,1,0,0,1,high
398,Chicago,other_service,secretary,0,0,public,1,0,0,,0,0,none_listed,0,Kristen,white,f,4,1,0,0,4,1,0,0,0,1,0,low
398,Chicago,other_service,secretary,0,0,public,1,0,0,,0,0,none_listed,0,Latonya,black,f,4,1,0,1,5,1,1,0,0,0,1,high
398,Chicago,other_service,secretary,0,0,public,1,0,0,,0,0,none_listed,0,Latoya,black,f,4,1,0,1,6,1,0,0,0,1,0,low
398,Chicago,other_service,secretary,0,0,public,1,0,0,,0,0,none_listed,0,Laurie,white,f,4,1,0,1,6,1,0,1,0,0,1,high
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,0,Allison,white,f,4,1,0,1,13,1,1,0,0,1,0,low
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,0,Ebony,black,f,4,1,1,0,19,1,1,0,0,1,0,low
400,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,0,Jay,white,m,2,0,0,1,5,0,0,1,0,0,1,high
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,0,Keisha,black,f,4,1,0,0,7,1,1,0,1,1,1,high
399,Chicago,finance_insurance_real_estate,secretary,0,0,private,1,0,0,some,0,0,none_listed,0,Laurie,white,f,4,1,0,1,21,1,0,0,0,1,1,high
400,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,0,Tyrone,black,m,2,0,0,1,5,0,1,1,0,0,1,high
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,,1,0,some_college,0,Anne,white,f,4,1,0,1,4,1,1,0,0,1,0,low
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,,1,0,some_college,0,Lakisha,black,f,4,1,0,1,5,1,1,0,0,0,1,high
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,,1,0,some_college,0,Latonya,black,f,4,1,0,1,6,1,0,0,0,0,0,low
401,Chicago,business_and_personal_service,secretary,NA,1,nonprofit,1,0,1,,1,0,some_college,0,Meredith,white,f,3,0,0,1,5,1,0,1,0,0,1,high
403,Chicago,other_service,manager,0,0,unknown,0,0,0,,0,0,none_listed,0,Allison,white,f,0,0,0,0,5,1,1,1,0,0,1,high
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,,0,0,none_listed,0,Carrie,white,f,4,1,0,0,6,0,0,0,0,0,0,low
403,Chicago,other_service,manager,0,0,unknown,0,0,0,,0,0,none_listed,0,Ebony,black,f,4,1,0,1,6,0,0,1,0,0,1,high
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,,0,0,none_listed,0,Kenya,black,f,4,1,0,0,6,1,1,0,0,1,0,low
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,,0,0,none_listed,0,Lakisha,black,f,4,1,1,1,6,1,0,0,0,1,1,high
402,Chicago,manufacturing,secretary,0,1,private,0,0,0,,0,0,none_listed,0,Laurie,white,f,3,0,0,1,4,1,0,1,1,0,1,high
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,,1,1,none_listed,0,Aisha,black,f,4,1,0,0,8,1,0,1,0,1,1,high
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,,1,1,none_listed,0,Anne,white,f,4,1,0,1,5,1,0,0,0,1,0,low
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,unknown,0,0,0,,0,0,none_listed,0,Brendan,white,m,4,1,0,0,5,0,1,1,0,0,1,high
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,unknown,0,0,0,,0,0,none_listed,0,Hakim,black,m,1,0,0,0,5,1,1,1,0,0,1,high
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,,1,1,none_listed,0,Latoya,black,f,3,0,0,1,6,1,0,0,0,0,0,low
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,unknown,0,0,0,,0,0,none_listed,0,Laurie,white,f,4,1,0,0,5,0,1,0,0,0,0,low
404,Chicago,business_and_personal_service,clerical,0,0,private,1,1,0,,1,1,none_listed,0,Laurie,white,f,3,0,0,1,3,1,0,1,1,0,1,high
405,Chicago,wholesale_and_retail_trade,retail_sales,0,1,unknown,0,0,0,,0,0,none_listed,0,Leroy,black,m,4,1,0,0,4,1,1,0,0,0,0,low
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,0,Anne,white,f,4,1,0,1,12,1,0,1,0,0,1,high
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,0,Kenya,black,f,3,0,0,1,11,1,0,1,0,0,1,high
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,0,Latonya,black,f,4,1,1,0,9,1,0,0,0,1,0,low
406,Chicago,manufacturing,secretary,0,1,private,1,1,0,2,1,0,none_listed,0,Meredith,white,f,4,1,0,0,10,1,0,0,0,1,0,low
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,0,Jamal,black,m,4,1,0,0,5,1,1,0,0,1,0,low
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,0,Matthew,white,m,4,1,0,0,4,1,1,1,0,1,1,high
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,0,Neil,white,m,4,1,0,1,4,1,0,0,0,0,0,low
407,Chicago,other_service,manager,0,0,nonprofit,1,0,1,3,1,0,college,0,Tyrone,black,m,4,1,0,1,3,1,0,1,0,1,1,high
410,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,0,0,none_listed,0,Leroy,black,m,2,0,0,0,4,0,1,1,0,0,1,high
410,Chicago,wholesale_and_retail_trade,manager,0,0,private,1,0,0,some,0,0,none_listed,1,Todd,white,m,2,0,0,1,7,1,0,1,0,1,1,high
412,Chicago,wholesale_and_retail_trade,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Brad,white,m,1,0,0,0,3,1,1,0,0,0,0,low
411,Chicago,other_service,secretary,NA,1,unknown,1,1,0,some,1,0,none_listed,0,Ebony,black,f,4,1,0,1,3,1,0,0,0,0,0,low
411,Chicago,other_service,secretary,NA,1,unknown,1,1,0,some,1,0,none_listed,0,Jill,white,f,4,1,0,0,2,1,0,0,0,1,0,low
411,Chicago,other_service,secretary,NA,1,unknown,1,1,0,some,1,0,none_listed,0,Kristen,white,f,4,1,0,1,4,1,0,0,0,0,1,high
412,Chicago,wholesale_and_retail_trade,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Lakisha,black,f,4,1,1,1,4,0,1,1,0,1,1,high
412,Chicago,wholesale_and_retail_trade,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Matthew,white,m,4,1,0,1,4,1,1,1,1,0,1,high
411,Chicago,other_service,secretary,NA,1,unknown,1,1,0,some,1,0,none_listed,0,Tamika,black,f,4,1,0,1,4,1,1,0,0,0,1,high
412,Chicago,wholesale_and_retail_trade,manager,NA,0,unknown,0,0,0,,0,0,none_listed,0,Tremayne,black,m,4,1,0,0,2,1,1,0,0,0,0,low
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,,1,0,none_listed,0,Aisha,black,f,4,1,0,0,10,1,1,1,0,1,1,high
414,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,1,Brett,white,m,2,0,0,1,4,0,0,1,0,1,1,high
414,Chicago,wholesale_and_retail_trade,manager,1,0,private,1,0,0,some,0,0,none_listed,0,Darnell,black,m,2,0,0,1,5,0,1,1,0,0,1,high
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,,1,0,none_listed,0,Emily,white,f,4,1,0,1,11,1,0,1,0,1,1,high
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,,1,0,none_listed,0,Latonya,black,f,4,1,0,1,3,1,1,0,0,0,0,low
413,Chicago,manufacturing,secretary,1,1,public,1,0,0,,1,0,none_listed,0,Sarah,white,f,4,1,0,0,2,1,1,0,0,1,0,low
415,Chicago,wholesale_and_retail_trade,supervisor,0,1,public,1,0,0,5,1,0,none_listed,0,Aisha,black,f,4,1,0,1,7,1,0,0,0,0,1,high
415,Chicago,wholesale_and_retail_trade,supervisor,0,1,public,1,0,0,5,1,0,none_listed,0,Anne,white,f,4,1,0,0,7,1,1,1,0,1,1,high
416,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,0,2,0,0,none_listed,0,Jermaine,black,m,4,1,0,1,4,0,0,1,0,1,1,high
416,Chicago,wholesale_and_retail_trade,manager,0,0,unknown,1,0,0,2,0,0,none_listed,0,Neil,white,m,4,1,0,1,4,0,1,1,0,0,1,high
