,balance,income,default_Yes,student_Yes
0,729.5264952072858,44361.62507426687,0.0,0.0
1,817.1804065554977,12106.134700314931,0.0,1.0
2,1073.549164011728,31767.138947399937,0.0,0.0
3,529.2506047452785,35704.4939350781,0.0,0.0
4,785.655882930501,38463.49587872287,0.0,0.0
5,919.5885304745,7491.558571827461,0.0,1.0
6,825.5133305172009,24905.226577523485,0.0,0.0
7,808.667504297266,17600.451343586858,0.0,1.0
8,1161.0578540313222,37468.52928753752,0.0,0.0
9,0.0,29275.2682931678,0.0,0.0
10,0.0,21871.07308927755,0.0,1.0
11,1220.5837530037688,13268.562220926113,0.0,1.0
12,237.04511397747197,28251.695344963136,0.0,0.0
13,606.7423433024643,44994.5558492173,0.0,0.0
14,1112.9684006330451,23810.174050036047,0.0,0.0
15,286.23256013922395,45042.413035885525,0.0,0.0
16,0.0,50265.312353598536,0.0,0.0
17,527.540184074571,17636.539617293645,0.0,1.0
18,485.9368641717292,61566.10611780103,0.0,0.0
19,1095.0727352873976,26464.631389229016,0.0,0.0
20,228.9525496425724,50500.182197744136,0.0,0.0
21,954.2617927735456,32457.509075075443,0.0,0.0
22,1055.956604729044,51317.8830823874,0.0,0.0
23,641.9843888480208,30466.103257481387,0.0,0.0
24,773.211724534176,34353.31430500384,0.0,0.0
25,855.0085225256915,25211.33216145394,0.0,0.0
26,642.9997385154295,41473.511801018685,0.0,0.0
27,1454.8632724840368,32189.09495231784,0.0,0.0
28,615.7042765604052,39376.3946187014,0.0,0.0
29,1119.569353328648,16556.070205351072,0.0,1.0
30,494.8162288073257,54384.78283613857,0.0,0.0
31,448.8806562560393,15799.470409795576,0.0,1.0
32,584.90489468245,22429.93504621676,0.0,1.0
33,913.587172608928,46907.22540286232,0.0,0.0
34,1423.9389166408805,22634.4880875812,0.0,1.0
35,1499.724656559734,13190.652716410255,0.0,1.0
36,692.034167065432,47806.61177289631,0.0,0.0
37,351.45347152300985,35087.48864808582,0.0,0.0
38,742.6276207855974,37864.82393889518,0.0,0.0
39,653.1184001233884,39489.59470286126,0.0,0.0
40,872.1386795384769,41787.56726890118,0.0,0.0
41,837.2626227541713,51471.77209463774,0.0,0.0
42,1151.6305660826529,42917.46956362817,0.0,0.0
43,220.55560838643976,16872.947555781422,0.0,1.0
44,1690.234410387009,19052.572224695494,0.0,1.0
45,408.7729143051852,54206.9392120179,0.0,0.0
46,1238.610321241124,50066.6805336538,0.0,0.0
47,1228.3083503533585,37408.50386850756,0.0,0.0
48,820.9192041461837,47746.542073101606,0.0,0.0
49,857.4851177765004,31688.345973891915,0.0,0.0
50,563.6181771823624,42641.253266646025,0.0,0.0
51,1282.9725335957778,13120.63646960268,0.0,1.0
52,1505.7826748288403,26557.14144588081,0.0,1.0
53,904.0402590668128,16882.300605653527,0.0,1.0
54,0.0,49956.58057190597,0.0,0.0
55,1294.497346673102,10464.320731923122,0.0,1.0
56,1275.550632723641,15887.468486777369,0.0,1.0
57,1536.594600972517,48766.90745756152,0.0,0.0
58,1332.5226438669488,39143.13706901777,0.0,0.0
59,492.07976781541066,33379.09460283949,0.0,0.0
60,766.2343793038935,46478.2942569524,0.0,0.0
61,690.1272461999931,63432.98425446742,0.0,0.0
62,0.0,32481.540046115137,0.0,0.0
63,1480.655309262662,36866.15706868477,0.0,0.0
64,989.055596975304,45344.25132026475,0.0,0.0
65,1302.3418351685646,33695.42623326361,0.0,0.0
66,1044.552343284715,54696.76598162258,0.0,0.0
67,0.0,43658.22772399567,0.0,0.0
68,866.0284363679901,38363.42163471179,0.0,0.0
69,690.800792354134,48140.47133599499,0.0,0.0
70,597.7571420170611,31577.61512556769,0.0,0.0
71,429.4854023062761,51311.21810102304,0.0,0.0
72,1398.1562014832557,39644.94219318956,0.0,0.0
73,1578.0640985399407,19886.493951516848,0.0,1.0
74,857.0690531342425,26655.68896537547,0.0,0.0
75,752.459945958806,16211.275788182638,0.0,1.0
76,774.7384269639269,15193.733135524952,0.0,1.0
77,728.3732513025868,45131.71826469096,0.0,0.0
78,76.99129052990713,28392.093412284645,0.0,0.0
79,196.4569131361834,41346.78591323998,0.0,0.0
80,948.7479183886164,14297.619048551254,0.0,1.0
81,431.9208853041759,39369.8815631008,0.0,0.0
82,461.63818223378007,46221.21149482338,0.0,0.0
83,572.0157602305989,33046.31295750332,0.0,0.0
84,335.5681447331789,51258.444229962064,0.0,0.0
85,510.2375931563797,60397.71864869477,0.0,0.0
86,1005.1613055557738,24038.652043311755,0.0,1.0
87,162.4544510865644,13241.752060075938,0.0,1.0
88,932.5331556823304,50537.465648460166,0.0,0.0
89,893.3304676122754,11905.681792548356,0.0,1.0
