country_name,regional_indicator,ladder_score,standard_error_of_ladder_score,upperwhisker,lowerwhisker,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,explained_by_log_gdp_per_capita,explained_by_social_support,explained_by_healthy_life_expectancy,explained_by_freedom_to_make_life_choices,explained_by_generosity,explained_by_perceptions_of_corruption,dystopia_residual
Finland,Western Europe,7.808700084686279,0.031156305223703384,7.8697662353515625,7.747633934020996,10.639266967773438,0.9543297290802002,71.90082550048828,0.9491721987724304,-0.059482019394636154,0.19544458389282227,1.9723167419433594,1.2851895093917847,1.4995259046554565,0.9612714052200317,0.6623167395591736,0.15967044234275818,0.4778572618961334,2.7628350257873535
Denmark,Western Europe,7.645599842071533,0.03349228575825691,7.711244583129883,7.579955101013184,10.774001121520996,0.9559907913208008,72.40250396728516,0.9514442682266235,0.06620177626609802,0.1684894561767578,1.9723167419433594,1.3269485235214233,1.5034492015838623,0.9793325662612915,0.6650398969650269,0.24279339611530304,0.4952603280544281,2.4327406883239746
Switzerland,Western Europe,7.559899806976318,0.03501417115330696,7.628527641296387,7.49127197265625,10.97993278503418,0.9428465962409973,74.102447509765625,0.9213366508483887,0.10591103881597519,0.3037284314632416,1.9723167419433594,1.3907742500305176,1.4724034070968628,1.040533185005188,0.6289544701576233,0.2690557539463043,0.4079459011554718,2.3502674102783203
Iceland,Western Europe,7.504499912261963,0.059615861624479294,7.621346950531006,7.38765287399292,10.77255916595459,0.9746695756912231,73,0.9488918781280518,0.24694421887397766,0.71170973777771,1.9723167419433594,1.3265016078948975,1.5475674867630005,1.0008434057235718,0.6619807481765747,0.36233022809028625,0.14454077184200287,2.4606881141662598
Norway,Western Europe,7.48799991607666,0.03483738377690315,7.556281089782715,7.4197187423706055,11.087803840637207,0.9524865746498108,73.2007827758789,0.9557502865791321,0.134532630443573,0.2632181942462921,1.9723167419433594,1.424207329750061,1.4951725006103516,1.0080718994140625,0.6702008843421936,0.28798508644104004,0.43410056829452515,2.1682662963867188
Netherlands,Western Europe,7.44890022277832,0.02779174968600273,7.5033721923828125,7.394428253173828,10.812711715698242,0.9391388297080994,72.30091857910156,0.9085478186607361,0.20761243999004364,0.36471712589263916,1.9723167419433594,1.3389463424682617,1.4636459350585938,0.9756753444671631,0.6136264801025391,0.3363175690174103,0.3685697615146637,2.3521170616149902
Sweden,Western Europe,7.353499889373779,0.03623419627547264,7.424519062042236,7.282480716705322,10.758793830871582,0.926311194896698,72.60076904296875,0.9391441941261292,0.11161462217569351,0.2508801817893982,1.9723167419433594,1.3222352266311646,1.4333477020263672,0.9864704608917236,0.6502977013587952,0.2728278934955597,0.44206637144088745,2.2462992668151855
New Zealand,North America and ANZ,7.299600124359131,0.039465468376874924,7.376952648162842,7.22224760055542,10.500943183898926,0.949118971824646,73.20262908935547,0.9362174868583679,0.1915980726480484,0.2211388498544693,1.9723167419433594,1.2423179149627686,1.4872183799743652,1.0081382989883423,0.6467899084091187,0.3257262110710144,0.46126827597618103,2.128108024597168
Austria,Western Europe,7.2941999435424805,0.0333651639521122,7.359595775604248,7.228804111480713,10.742823600769043,0.9280458688735962,73.00250244140625,0.8999894857406616,0.08542922139167786,0.49995487928390503,1.9723167419433594,1.3172855377197266,1.4374449253082275,1.0009335279464722,0.603368878364563,0.25550976395606995,0.28125613927841187,2.3984460830688477
Luxembourg,Western Europe,7.237500190734863,0.03085179440677166,7.297969818115234,7.177030563354492,11.45068073272705,0.9069122076034546,72.5999984741211,0.9056364297866821,-0.004620587918907404,0.3670842945575714,1.9723167419433594,1.536676049232483,1.387528419494629,0.9864426851272583,0.6101370453834534,0.19595392048358917,0.3670414686203003,2.153700351715088
